Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
Revenue,Childrens Services,5105650604,31.01.2014,In-house Fostering,Boarding Out Allowances,20.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647304,17.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647304,17.01.2014,In-house Fostering,Boarding Out Allowances,30.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645043,03.01.2014,In-house Fostering,Boarding Out Allowances,30.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645043,03.01.2014,In-house Fostering,Boarding Out Allowances,15.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645043,03.01.2014,In-house Fostering,Boarding Out Allowances,30.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645043,03.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647292,17.01.2014,Adoption Costs,Support Children,71.74,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647292,17.01.2014,Adoption Costs,Support Children,71.74,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648672,24.01.2014,Adoption Costs,Support Children,71.74,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648672,24.01.2014,Adoption Costs,Support Children,71.74,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645031,03.01.2014,Adoption Costs,Support Children,71.74,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650592,31.01.2014,Adoption Costs,Support Children,71.74,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650592,31.01.2014,Adoption Costs,Support Children,71.74,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645031,03.01.2014,Adoption Costs,Support Children,71.74,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645751,10.01.2014,Adoption Costs,Support Children,71.74,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645751,10.01.2014,Adoption Costs,Support Children,71.74,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650616,31.01.2014,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645775,10.01.2014,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647316,17.01.2014,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648696,24.01.2014,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645055,03.01.2014,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650641,31.01.2014,Special Guardianship Order Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645799,10.01.2014,Special Guardianship Order Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647341,17.01.2014,Special Guardianship Order Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648721,24.01.2014,Special Guardianship Order Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645079,03.01.2014,Special Guardianship Order Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645157,03.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648801,24.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650719,31.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647418,17.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645876,10.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649372,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649372,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649372,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649372,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649372,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649372,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649372,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649372,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649372,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649372,29.01.2014,Learning Disability Residential Care,Charges from Independent Providers,"1,811.88",REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645332,06.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647284,17.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648664,24.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650584,31.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645332,06.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650584,31.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647284,17.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648664,24.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645743,10.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645743,10.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645872,10.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645153,03.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650716,31.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648798,24.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647415,17.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650626,31.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645785,10.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647326,17.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648706,24.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645065,03.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650653,31.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645809,10.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647352,17.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645090,03.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648735,24.01.2014,Special Guardianship Order Costs,Support Children,125.79,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648385,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,769.43,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648385,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648385,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,742.26,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648385,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648385,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645815,10.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645096,03.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650659,31.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648741,24.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647358,17.01.2014,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650726,31.01.2014,Special Guardianship Order Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650726,31.01.2014,Special Guardianship Order Costs,Support Children,109.90,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645884,10.01.2014,Special Guardianship Order Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647425,17.01.2014,Special Guardianship Order Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647425,17.01.2014,Special Guardianship Order Costs,Support Children,109.90,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645165,03.01.2014,Special Guardianship Order Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645165,03.01.2014,Special Guardianship Order Costs,Support Children,109.90,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648808,24.01.2014,Special Guardianship Order Costs,Support Children,116.80,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648808,24.01.2014,Special Guardianship Order Costs,Support Children,109.90,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105644942,02.01.2014,Special Guardianship Order Costs,Support Children,109.90,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649374,29.01.2014,Dementia Residential care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649374,29.01.2014,Dementia Residential care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649374,29.01.2014,Dementia Residential care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649374,29.01.2014,Dementia Residential care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649374,29.01.2014,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649374,29.01.2014,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649374,29.01.2014,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649374,29.01.2014,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649374,29.01.2014,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105647651,17.01.2014,Elderly Mentally Ill Residential Care,Charges from Independent Providers,910.65,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649374,29.01.2014,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649339,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649339,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649339,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649339,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649339,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649339,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649339,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,998.08",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649339,29.01.2014,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649339,29.01.2014,Elderly Frail Residential Care,Charges from Independent Providers,"1,818.60",REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645113,03.01.2014,Support for Looked After Children,Support Children,30.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650676,31.01.2014,Support for Looked After Children,Support Children,30.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647375,17.01.2014,Support for Looked After Children,Support Children,30.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645832,10.01.2014,Support for Looked After Children,Support Children,30.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648758,24.01.2014,Support for Looked After Children,Support Children,30.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105649084,24.01.2014,Support for Looked After Children,Support Children,10.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645172,03.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648815,24.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650733,31.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647432,17.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645891,10.01.2014,Children placed with Family & Friends,Boarding Out Allowances,130.20,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650231,29.01.2014,Support for Looked After Children (Children Young Adults Disability),Support Children,180.00,K&K HIRE LTD
Revenue,Resources,5105649224,24.01.2014,Staff Benefits,Payment to Private Contractors,243.00,REDACTED PERSONAL DATA
Revenue,Resources,5105649225,24.01.2014,Staff Benefits,Payment to Private Contractors,99.22,REDACTED PERSONAL DATA
Revenue,Resources,5105649220,24.01.2014,Staff Benefits,Payment to Private Contractors,72.92,KCT CHILDCARE LIMITED
Revenue,Economy & Environment,5105648022,22.01.2014,Beach Safety & Inspection / Beach Awards,Professional Subscriptions,"7,337.00",KEEP BRITAIN TIDY
Revenue,Economy & Environment,5105645542,08.01.2014,Medina Leisure Centre,Stock Purchases,85.50,KELLOGGS ASA AWARDS SCHEME
Revenue,Economy & Environment,5105645521,08.01.2014,Medina Leisure Centre,Stock Purchases,641.25,KELLOGGS ASA AWARDS SCHEME
Revenue,Economy & Environment,5105645521,08.01.2014,Medina Leisure Centre,Stock Purchases,13.00,KELLOGGS ASA AWARDS SCHEME
Revenue,Economy & Environment,5105646050,10.01.2014,Medina Leisure Centre,Stock Purchases,51.30,KELLOGGS ASA AWARDS SCHEME
Revenue,Economy & Environment,5105642665,03.01.2014,Heights Shop Stock,Order Settlement,632.70,KELLOGGS ASA AWARDS SCHEME
Revenue,Economy & Environment,5105642665,03.01.2014,The Heights,Postage,13.00,KELLOGGS ASA AWARDS SCHEME
Revenue,Economy & Environment,5105648560,29.01.2014,Parking Attendants,Clothing & Laundry,137.90,KELTIC
Revenue,Economy & Environment,5105648560,29.01.2014,Parking Attendants,Clothing & Laundry,29.95,KELTIC
Revenue,Economy & Environment,5105648560,29.01.2014,Parking Attendants,Clothing & Laundry,6.95,KELTIC
Revenue,Economy & Environment,5105648560,29.01.2014,Parking Attendants,Clothing & Laundry,62.95,KELTIC
Revenue,Economy & Environment,5105648560,29.01.2014,Parking Attendants,Clothing & Laundry,10.95,KELTIC
Revenue,Community Wellbeing & Social Care,5105647829,27.01.2014,Drug Misuse - Adults,Payment to Private Contractors,30.00,KEMKAY LTD
Revenue,Economy & Environment,5105646114,10.01.2014,School Reorganisation Consultation Costs,Professional Services,"1,600.00",KEN BLOOMFIELD REMOVALS
Revenue,Childrens Services,5105649298,29.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,425.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649354,29.01.2014,Mental Health Nursing Mainland,Charges from Independent Providers,"3,698.52",KINGSWOOD HOUSE NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Elderly Mentally Ill Nursing Island,Charges from Independent Providers,"2,672.32",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105650167,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105650167,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,345.18,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105650167,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105650167,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,392.25,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105650167,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105645719,10.01.2014,Funded Nursing Care Island,Charges from Independent Providers,407.94,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105645719,10.01.2014,Funded Nursing Care Island,Charges from Independent Providers,"2,196.60",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Funded Nursing Care Island,Charges from Independent Providers,439.32,KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105650306,29.01.2014,Elderly Frail Nursing Island,Charges from Independent Providers,"2,672.32",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Elderly Frail Nursing Island,Charges from Independent Providers,"2,672.32",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Elderly Frail Nursing Island,Charges from Independent Providers,"2,672.32",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105647852,27.01.2014,Elderly Frail Nursing Island,Charges from Independent Providers,"8,016.96",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105648394,27.01.2014,Elderly Frail Nursing Island,Charges from Independent Providers,"1,813.36",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Elderly Frail Nursing Island,Charges from Independent Providers,"2,672.32",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Elderly Frail Nursing Island,Charges from Independent Providers,"2,672.32",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Elderly Frail Nursing Island,Charges from Independent Providers,"2,672.32",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649329,29.01.2014,Elderly Frail Nursing Island,Charges from Independent Providers,"2,672.32",KITE HILL NURSING HOME
Revenue,Community Wellbeing & Social Care,5105649280,29.01.2014,Governors  Support,Training,200.00,KL ASSOCIATES CONSULTANCY LTD
Revenue,Resources,5105649211,24.01.2014,Staff Benefits,Payment to Private Contractors,153.70,KNL CHILDCARE LTD
Revenue,Resources,5105649213,24.01.2014,Staff Benefits,Payment to Private Contractors,184.16,KNL CHILDCARE LTD
Revenue,Resources,5105649206,24.01.2014,Staff Benefits,Payment to Private Contractors,243.00,KNL CHILDCARE LTD
Revenue,Resources,5105649207,24.01.2014,Staff Benefits,Payment to Private Contractors,100.00,KNL CHILDCARE LTD
Revenue,Resources,5105649218,24.01.2014,Staff Benefits,Payment to Private Contractors,56.31,KNL CHILDCARE LTD
Revenue,Resources,5105649210,24.01.2014,Staff Benefits,Payment to Private Contractors,175.00,KNL CHILDCARE LTD
Revenue,Resources,5105649212,24.01.2014,Staff Benefits,Payment to Private Contractors,243.00,KNL CHILDCARE LTD
Revenue,Resources,5105649209,24.01.2014,Staff Benefits,Payment to Private Contractors,15.00,KNL CHILDCARE LTD
Revenue,Resources,5105649208,24.01.2014,Staff Benefits,Payment to Private Contractors,243.00,KNL CHILDCARE LTD
Revenue,Resources,5105649219,24.01.2014,Staff Benefits,Payment to Private Contractors,178.20,KNL CHILDCARE LTD
Revenue,Resources,5105649216,24.01.2014,Staff Benefits,Payment to Private Contractors,150.00,KNL CHILDCARE LTD
Revenue,Resources,5105649214,24.01.2014,Staff Benefits,Payment to Private Contractors,243.00,KNL CHILDCARE LTD
Revenue,Resources,5105649215,24.01.2014,Staff Benefits,Payment to Private Contractors,210.00,KNL CHILDCARE LTD
Revenue,Resources,5105649217,24.01.2014,Staff Benefits,Payment to Private Contractors,243.00,KNL CHILDCARE LTD
Revenue,Childrens Services,5105645035,03.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648676,24.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650596,31.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645035,03.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650596,31.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648676,24.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645755,10.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647296,17.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645755,10.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647296,17.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648387,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648387,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647320,17.01.2014,Special Guardianship Order Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648700,24.01.2014,Special Guardianship Order Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650620,31.01.2014,Special Guardianship Order Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645779,10.01.2014,Special Guardianship Order Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645059,03.01.2014,Special Guardianship Order Costs,Support Children,161.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648786,24.01.2014,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648786,24.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648786,24.01.2014,Children placed with Family & Friends,Boarding Out Allowances,60.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650704,31.01.2014,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650704,31.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650704,31.01.2014,Children placed with Family & Friends,Boarding Out Allowances,60.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645860,10.01.2014,Children placed with Family & Friends,Boarding Out Allowances,60.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647403,17.01.2014,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647403,17.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647403,17.01.2014,Children placed with Family & Friends,Boarding Out Allowances,60.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645141,03.01.2014,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645141,03.01.2014,Children placed with Family & Friends,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
