Generated by opendatacommunities.org,2014-03-25T13:49:52+00:00
http://opendatacommunities.org/data/house-building/starts/tenure,"Permanent dwellings started, 2009/10 to 2012/13, England, District By Tenure "
Reference period,2012-2013

,,http://opendatacommunities.org/def/concept/general-concepts/tenure/all,http://opendatacommunities.org/def/concept/general-concepts/tenure/housingAssociations,http://opendatacommunities.org/def/concept/general-concepts/tenure/localAuthority,http://opendatacommunities.org/def/concept/general-concepts/tenure/privateEnterprise
http://statistics.data.gov.uk/id/statistical-geography/E09000012,E09000012 Hackney,1390,300,0,1090
http://statistics.data.gov.uk/id/statistical-geography/E09000013,E09000013 Hammersmith and Fulham,780,0,0,780
http://statistics.data.gov.uk/id/statistical-geography/E09000014,E09000014 Haringey,80,10,0,70
http://statistics.data.gov.uk/id/statistical-geography/E09000015,E09000015 Harrow,120,40,0,70
http://statistics.data.gov.uk/id/statistical-geography/E09000016,E09000016 Havering,600,280,0,320
http://statistics.data.gov.uk/id/statistical-geography/E09000017,E09000017 Hillingdon,430,40,0,400
http://statistics.data.gov.uk/id/statistical-geography/E09000018,E09000018 Hounslow,980,600,50,340
http://statistics.data.gov.uk/id/statistical-geography/E09000019,E09000019 Islington,330,30,0,300
http://statistics.data.gov.uk/id/statistical-geography/E09000020,E09000020 Kensington and Chelsea,210,0,10,200
http://statistics.data.gov.uk/id/statistical-geography/E09000021,E09000021 Kingston upon Thames,190,20,0,180
http://statistics.data.gov.uk/id/statistical-geography/E09000022,E09000022 Lambeth,940,510,0,430
http://statistics.data.gov.uk/id/statistical-geography/E09000023,E09000023 Lewisham,360,150,0,210
http://statistics.data.gov.uk/id/statistical-geography/E09000024,E09000024 Merton,720,180,0,540
http://statistics.data.gov.uk/id/statistical-geography/E09000025,E09000025 Newham,540,160,0,380
http://statistics.data.gov.uk/id/statistical-geography/E09000026,E09000026 Redbridge,270,0,0,270
http://statistics.data.gov.uk/id/statistical-geography/E09000027,E09000027 Richmond upon Thames,160,,,
http://statistics.data.gov.uk/id/statistical-geography/E09000028,E09000028 Southwark,860,290,20,550
http://statistics.data.gov.uk/id/statistical-geography/E09000029,E09000029 Sutton,,,20,
http://statistics.data.gov.uk/id/statistical-geography/E09000030,E09000030 Tower Hamlets,1270,300,60,910
http://statistics.data.gov.uk/id/statistical-geography/E09000031,E09000031 Waltham Forest,380,250,0,130
http://statistics.data.gov.uk/id/statistical-geography/E09000032,E09000032 Wandsworth,430,90,0,340
http://statistics.data.gov.uk/id/statistical-geography/E09000033,E09000033 Westminster,200,140,0,60
http://statistics.data.gov.uk/id/statistical-geography/E10000002,E10000002 Buckinghamshire,1500,400,0,1110
http://statistics.data.gov.uk/id/statistical-geography/E10000003,E10000003 Cambridgeshire,2880,350,0,2540
http://statistics.data.gov.uk/id/statistical-geography/E10000005,E10000005 Cornwall and Isles of Scilly,0,0,0,0
http://statistics.data.gov.uk/id/statistical-geography/E10000006,E10000006 Cumbria,940,110,0,830
http://statistics.data.gov.uk/id/statistical-geography/E10000007,E10000007 Derbyshire,1240,190,0,1050
http://statistics.data.gov.uk/id/statistical-geography/E10000008,E10000008 Devon,2430,530,10,1890
http://statistics.data.gov.uk/id/statistical-geography/E10000011,E10000011 East Sussex,1250,220,0,1030
http://statistics.data.gov.uk/id/statistical-geography/E10000012,E10000012 Essex,2210,,,
http://statistics.data.gov.uk/id/statistical-geography/E10000013,E10000013 Gloucestershire,1900,450,0,1460
http://statistics.data.gov.uk/id/statistical-geography/E10000014,E10000014 Hampshire,3530,740,10,2790
http://statistics.data.gov.uk/id/statistical-geography/E10000015,E10000015 Hertfordshire,1840,230,0,1610
http://statistics.data.gov.uk/id/statistical-geography/E10000019,E10000019 Lincolnshire,1520,210,0,1310
http://statistics.data.gov.uk/id/statistical-geography/E10000020,E10000020 Norfolk,1790,200,0,1580
http://statistics.data.gov.uk/id/statistical-geography/E10000023,E10000023 North Yorkshire,760,110,0,650
http://statistics.data.gov.uk/id/statistical-geography/E10000025,E10000025 Oxfordshire,1060,230,10,820
http://statistics.data.gov.uk/id/statistical-geography/E10000027,E10000027 Somerset,1530,220,0,1300
http://statistics.data.gov.uk/id/statistical-geography/E10000029,E10000029 Suffolk,1330,90,0,1250
http://statistics.data.gov.uk/id/statistical-geography/E10000030,E10000030 Surrey,1990,400,0,1590
http://statistics.data.gov.uk/id/statistical-geography/E10000031,E10000031 Warwickshire,1040,210,110,730
http://statistics.data.gov.uk/id/statistical-geography/E10000034,E10000034 Worcestershire,1170,310,10,850
http://statistics.data.gov.uk/id/statistical-geography/E92000001,E92000001 England,101670,19360,1610,80710
